GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,PseudorangeRateMetersPerSecond,Constellation,GPS_Unique_Time,Pos_X,Pos_Y,Pos_Z,Lat,Lon,Alt
2024-04-13 16:53:51.426041+00:00,G10,25023639.6240527,4783845.804169687,8137692.350133545,21196005.876491062,48.3,385.8303527832031,G,2024-04-13 16:53:51.426041+00:00,4438798.164074377,3085559.2383909165,3377256.0168358805,32.167670877169606,34.80447471752747,2012.5675152884796
2024-04-13 16:53:51.426041+00:00,G21,-1620081.7744012866,17327678.892746456,20172485.06377744,22839528.10111702,45.7,-314.40350341796875,G,2024-04-13 16:53:52.426041+00:00,4434710.9417408155,3083872.517096339,3374055.2888446855,32.16397041188843,34.81452954974316,-3347.232748995535
2024-04-13 16:53:51.426041+00:00,G27,15757452.408262247,1890975.9572270664,21856363.72218275,21704707.75126088,37.9,570.804931640625,G,2024-04-13 16:53:53.426041+00:00,4439508.60591174,3086546.8183544353,3377737.6181176393,32.165841018743045,34.808770572619295,3239.946088335477
2024-04-13 16:53:51.426041+00:00,G32,23098436.983025927,13303367.387089957,-3014966.440680798,22215117.6879498,48.5,279.2655639648437,G,2024-04-13 16:53:54.426041+00:00,4434947.06105927,3084228.449004349,3374281.676442162,32.16379238308416,34.81619917818567,-2890.5885880244896
2024-04-13 16:53:51.426041+00:00,G08,7810468.745953594,17849813.84422347,18350828.840054344,21298089.881690577,27.7,207.6083984375,G,2024-04-13 16:53:55.426041+00:00,4436892.595366974,3085307.4919504994,3376329.7513440433,32.16880184240949,34.813814618332785,73.36873151175678
2024-04-13 16:53:52.426041+00:00,G10,25024485.673475336,4784495.73568894,8134789.066819822,21198559.1993035,24.4,211.72073364257807,G,2024-04-13 16:53:56.426041+00:00,4436860.199201117,3085277.8406980196,3376307.5837038434,32.16884160525477,34.813752609420064,24.722647378221154
2024-04-13 16:53:52.426041+00:00,G21,-1622221.73854071,17329011.944802325,20171123.30006812,22839914.83154743,50.6,389.1298522949219,G,2024-04-13 16:53:57.426041+00:00,4435623.126531764,3083437.5253120195,3374975.965336808,32.16859722564712,34.80521813386203,-2433.295590095222
2024-04-13 16:53:52.426041+00:00,G27,15757890.182846744,1893596.489084624,21855909.19874031,21704400.173245847,42.1,-311.0836181640625,G,2024-04-13 16:53:58.426041+00:00,4436872.593995499,3085286.9753638534,3376324.354074159,32.16889572368704,34.81375709787458,46.67975829914212
2024-04-13 16:53:52.426041+00:00,G32,23098025.775149062,13303432.704174263,-3018087.68460974,22215691.520228304,38.4,574.4353637695312,G,2024-04-13 16:53:59.426041+00:00,4436880.200240897,3085288.2898036134,3376329.5357502275,32.16890169180645,34.81372249964903,55.35992455855012
2024-04-13 16:53:52.426041+00:00,G08,5169380.722878825,25825521.784615077,-3459569.395109384,23754428.557289816,49.7,282.67205810546875,G,2024-04-13 16:54:00.426041+00:00,4436888.260377778,3085288.416353546,3376320.9712766963,32.168804195878344,34.8136748141716,56.462795708328485
2024-04-13 16:53:52.426041+00:00,G10,7808348.177677022,17848964.775590166,18352557.36700962,21298366.886310644,22.6,-475.15234375,G,2024-04-13 16:54:01.426041+00:00,4436877.489738677,3085286.661387555,3376318.429838481,32.168832063144315,34.81372473144368,46.77627198025584
2024-04-13 16:53:53.426041+00:00,G10,14633733.886359746,-4876403.146818345,22088069.517008904,22748496.82369909,36.4,-473.2129211425781,G,2024-04-13 16:54:02.426042+00:00,4435548.122011004,3085269.9208808215,3375005.537000938,32.164094763199444,34.82162714014344,-1584.1284239804372
2024-04-13 16:53:53.426041+00:00,G21,25025331.442510437,4785145.479727181,8131885.568654007,21196433.1066274,49.4,386.9629821777344,G,2024-04-13 16:54:03.426042+00:00,4434949.843007435,3084353.7223602845,3374345.9994698586,32.16392915272332,34.81727317006835,-2793.8650876944885
2024-04-13 16:53:53.426041+00:00,G27,-1624361.4826959353,17330345.03588265,20169761.11118544,22840302.15528525,44.0,-313.22088623046875,G,2024-04-13 16:54:04.426042+00:00,4435599.280910684,3085290.42284098,3375010.659506424,32.16387599390092,34.82149583663871,-1535.9385485472158
2024-04-13 16:53:53.426041+00:00,G32,15758328.104750004,1896216.9289400128,21855454.23321496,21704083.311714977,38.3,572.3273315429688,G,2024-04-13 16:54:05.426042+00:00,4435613.571348404,3085233.756673478,3375000.0364924176,32.163893919790496,34.82091600161591,-1559.0539767313749
2024-04-13 16:53:53.426041+00:00,G08,23097614.222629804,13303497.87727221,-3021208.866181496,22216267.09752858,49.5,280.6029052734375,G,2024-04-13 16:54:06.426042+00:00,4436887.249650992,3085296.8931209026,3376320.1844832185,32.16877893852174,34.813754717992744,59.43799904361367
2024-04-13 16:53:53.426041+00:00,G10,7806227.364849447,17848115.74016531,18354285.51236688,21298652.26703523,28.7,211.6474151611328,G,2024-04-13 16:54:07.426042+00:00,4436883.30104999,3085286.8638079436,3376321.2914935895,32.16883044508915,34.81369131821669,52.436391146853566
2024-04-13 16:53:54.426041+00:00,G10,14634187.149074417,-4873751.769524982,22088388.030829635,22748007.24233289,34.4,-472.8988037109375,G,2024-04-13 16:54:08.426042+00:00,4436886.748333367,3085285.763247973,3376328.3213802613,32.168873535497895,34.81366087239897,58.04312446061522
2024-04-13 16:53:54.426041+00:00,G21,25026176.90465797,4785795.015990736,8128981.946531652,21199006.53209067,33.3,212.15841674804688,G,2024-04-13 16:54:09.426042+00:00,4436900.827401757,3085279.5748292464,3376336.8982191714,32.16890047115828,34.813521786628556,69.40352085977793
2024-04-13 16:53:54.426041+00:00,G27,-1626501.006833816,17331678.165936805,20168398.497152485,22840689.199819587,49.4,386.8756408691406,G,2024-04-13 16:54:10.426042+00:00,4436886.790062441,3085272.3713982888,3376315.744134616,32.16881407093684,34.813544050124804,44.90399507153779
2024-04-13 16:53:54.426041+00:00,G32,15758766.173928833,1898837.2765790075,21854998.82564615,21703774.791388184,46.6,-312.8106384277344,G,2024-04-13 16:54:11.426042+00:00,4436904.767469069,3085269.107619748,3376322.657219227,32.16880492284571,34.81340682598478,59.50122021138668
2024-04-13 16:53:54.426041+00:00,G08,23097202.325449765,13303562.90643484,-3024329.9853714406,22216840.61570317,41.8,572.9408569335938,G,2024-04-13 16:54:12.426042+00:00,4436899.534937346,3085262.5549967843,3376322.5334389186,32.16884256534404,34.81338146005011,52.63220152352005
2024-04-13 16:53:54.426041+00:00,G10,5168924.808986012,25826449.378600422,-3453295.7092887238,23753475.83613615,48.5,280.737060546875,G,2024-04-13 16:54:13.426042+00:00,4436894.17138583,3085250.7733499934,3376311.673838676,32.168813105643075,34.81331137069124,37.42956441361457
2024-04-13 16:53:54.426041+00:00,G27,7804106.3073945,17847266.737952083,18356013.276183147,21298929.899863143,25.7,-475.5982971191406,G,2024-04-13 16:54:14.426042+00:00,4434522.830127854,3085161.213129362,3375416.427394044,32.17157259289232,34.82689014470362,-2130.386051929556
