GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,PseudorangeRateMetersPerSecond,Constellation
2024-05-06 18:25:59.417842+00:00,G02,22724927.209702566,13977025.955319338,1869686.166830266,19628772.310677063,42.6,383.0802917480469,G
2024-05-06 18:25:59.417842+00:00,G03,12820327.943803554,9125934.24579418,21266677.399616733,18954761.86505293,50.1,-142.2725067138672,G
2024-05-06 18:25:59.417842+00:00,G04,21633065.8122285,3661372.296939429,15082035.842342231,19106909.012094773,40.0,-127.44847869873048,G
2024-05-06 18:25:59.417842+00:00,G09,25243625.615620203,-7243609.360806771,4076005.669581516,21538543.901640363,48.2,-452.6319274902344,G
2024-05-06 18:25:59.417842+00:00,G17,21208939.44856398,-13394516.686893508,9387902.884201592,22570895.773576323,40.6,163.90536499023438,G
2024-05-06 18:25:59.417842+00:00,G19,13909627.504225042,-15277131.575953076,16285611.564990675,22665332.97933649,40.2,-53.101829528808594,G
2024-05-06 18:25:59.417842+00:00,G26,-4230809.421205001,25839603.43762768,2901616.965022904,22637212.980716903,34.4,-324.1272277832031,G
2024-05-06 18:25:59.417842+00:00,G28,-7182189.669299655,13546470.866824985,21675053.750043865,22359067.264247827,47.8,575.3521728515625,G
2024-05-06 18:25:59.417842+00:00,G31,2778642.026531052,19042376.21552868,17920021.1987072,19942839.972732853,50.8,324.432861328125,G
2024-05-06 18:25:59.417842+00:00,E04,2418553.0080807568,17008986.87830868,24118490.87800882,23354152.584072445,48.2,349.2200012207031,E
2024-05-06 18:25:59.417842+00:00,E05,28437766.443682756,-7657055.472783298,2945379.646981468,24596446.95483948,44.5,-338.0683288574219,E
2024-05-06 18:25:59.417842+00:00,E09,21182057.068953566,6909585.486143342,19486005.46814378,21844225.86632329,46.3,12.842328071594238,E
2024-05-06 18:25:59.417842+00:00,E10,18766096.036551755,21920341.74152274,-6609110.962658567,23971682.27786647,31.6,525.8099975585938,E
2024-05-06 18:25:59.417842+00:00,E11,23663258.86998311,17375199.889725327,3850882.317467265,22248839.72889431,36.2,338.0841064453125,E
2024-05-06 18:25:59.417842+00:00,E31,1125889.9593029656,28017998.087233648,-9479235.456057245,26528485.13697774,32.2,-418.3179931640625,E
2024-05-06 18:25:59.417842+00:00,E34,7621243.410379782,-14392573.541720605,24709036.99833544,26062575.43377622,45.9,-528.754150390625,E
2024-05-06 18:25:59.417842+00:00,E36,21988729.046381302,2420839.5583013818,19672817.39725127,22257124.053062838,45.5,-179.70504760742188,E
2024-05-06 18:25:59.417842+00:00,E12,11521176.439013354,22853797.12367901,-14898644.722524494,26121493.29206889,26.3,583.4287719726562,E
