GPS time,Strongest SatPRN,Weakest SatPRN,Average Strong Position,Average Weak Position,Latitude Difference,Longitude Difference,Altitude Difference,Disruption Detected
2024-05-20 12:13:37.000999+00:00,"['G26', 'G32', 'G16']","['G23', 'G01', 'G10']","(17994578.388032913, 4537767.59369845, -1058942.1714521274)","(3059894.3040896696, 11311194.651404932, 20021229.088920604)",6773427.057706482,14934684.083943244,21080171.26037273,True
2024-05-20 12:13:38.000999+00:00,"['G32', 'G23', 'G21']","['G26', 'G10', 'G01']","(13280096.125574773, 2204900.1903637825, 8979335.88829329)","(3057667.5457717925, 11310604.738359323, 20021987.176323175)",9105704.547995541,10222428.57980298,11042651.288029885,True
2024-05-20 12:13:39.000999+00:00,"['G32', 'G23', 'G10']","['G15', 'G16', 'G01']","(10181860.764460044, 5840732.268703711, 14029021.919223586)","(8209379.835397693, 12911861.638494099, 1827619.1830961562)",7071129.369790387,1972480.9290623507,12201402.73612743,True
2024-05-20 12:13:40.000999+00:00,"['G32', 'G10', 'G23']","['G15', 'G16', 'G16']","(12464016.093728205, 5458257.9218143625, 12035855.580773944)","(16839634.495892543, 9552744.915587964, -663418.1153900245)",4094486.993773601,4375618.402164338,12699273.69616397,True
2024-05-20 12:13:41.000999+00:00,"['G23', 'G10', 'G32']","['G26', 'G16', 'G01']","(12464302.33604168, 5459537.24446116, 12033853.337216431)","(18637360.478808302, 3445906.956078628, -401658.48293871776)",2013630.288382532,6173058.142766623,12435511.82015515,True
2024-05-20 12:13:42.000999+00:00,"['G16', 'G10', 'G32']","['G16', 'G21', 'G15']","(9734640.722053727, 7362544.22829368, 17366257.642074216)","(24145396.659390748, 4751763.569374784, -7258414.205668674)",2610780.6589188958,14410755.93733702,24624671.84774289,True
2024-05-20 12:13:43.000999+00:00,"['G10', 'G16', 'G01']","['G26', 'G15', 'G16']","(16599729.875996888, 3292780.8755529113, 18942773.71564339)","(16833999.00603125, 9553610.812901756, -668151.5570736738)",6260829.9373488445,234269.13003436103,19610925.272717066,True
2024-05-20 12:13:44.000999+00:00,"['G10', 'G26', 'G01']","['G21', 'G15', 'G16']","(18374266.307276648, 3220507.7393669537, 9271536.212350838)","(22369308.482090518, 4826163.263117635, 2407294.0098561184)",1605655.523750681,3995042.1748138703,6864242.20249472,True
