GPS_Unique_Time,Group,Pos_X,Pos_Y,Pos_Z,Lat,Lon,Alt
2024-05-06 18:25:01.592145+00:00,High_CN0,4610902.202621693,2780776.023803697,3252134.7983797775,31.303850532248646,31.093640142521288,-81969.23412447702
2024-05-06 18:25:01.592145+00:00,Low_CN0,4541622.563577962,2881726.7491950956,3063390.7030697824,29.833877976130946,32.39573168589671,-182963.63164925855
2024-05-06 18:25:02.599145+00:00,High_CN0,4516632.261723771,2727279.0676894803,3096369.7301786426,30.582225300679138,31.124848331761427,-254996.70158779435
2024-05-06 18:25:02.599145+00:00,Low_CN0,4561703.170017368,2936591.424329621,2913047.7981466586,28.399844133218068,32.77136494267461,-215527.4775740672
2024-05-06 18:25:04.419145+00:00,High_CN0,4968507.933201646,2814468.4819948124,3215470.8876814954,29.544223132203186,29.529883745557832,180392.55525956396
2024-05-06 18:25:04.419145+00:00,Low_CN0,4717229.806948477,2873983.073471815,3178549.078210773,30.08410258866202,31.35195810450047,209.02896731626242
2024-05-06 18:25:05.419145+00:00,High_CN0,4673024.722357927,2745150.7230678787,3200499.9860795224,30.734105562922462,30.43194511373218,-78445.59189957101
2024-05-06 18:25:05.419145+00:00,Low_CN0,4717229.132981334,2873979.2416643663,3178549.268177776,30.084115688846655,31.351927799376966,206.90106694493443
2024-05-06 18:25:20.420000+00:00,High_CN0,5264632.218267695,3160917.7161069526,3772717.787992049,31.71779359222715,30.980865498960505,834762.2389973635
2024-05-06 18:25:20.420000+00:00,Low_CN0,4426169.442076174,2711095.5512041124,2902580.1270876913,29.390530072783793,31.488097867510554,-426090.3937418619
2024-05-06 18:25:22.417843+00:00,High_CN0,4627796.484532366,3106115.219884634,3333733.040213866,31.051712798176958,33.868984755515214,121994.91205075383
2024-05-06 18:25:22.417843+00:00,Low_CN0,4398821.267471449,2907612.8175498806,3137390.4644500213,30.928543361271096,33.464630638713444,-236803.85691734962
2024-05-06 18:25:24.417843+00:00,High_CN0,4598674.7345737815,3106300.2992358636,3301564.837713769,30.91684939761931,34.03813233540102,84813.86910166871
2024-05-06 18:25:24.417843+00:00,Low_CN0,4496031.861020088,2854458.1761124143,3300938.3891762504,31.967089662581426,32.41080594130899,-106524.89873433672
2024-05-06 18:25:25.417843+00:00,High_CN0,4599309.813099887,3106458.2348462115,3302120.3447848083,30.91828013120429,34.03581364759783,85626.62580356374
