GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,GPS_Unique_Time,Group,Pos_X,Pos_Y,Pos_Z,Lat,Lon,Alt
2024-05-20 12:13:37.000999+00:00,G16,21908401.24717736,8769082.089393983,-12887721.385779325,24796502.7581429,33.92499923706055,2024-05-20 12:13:37.000999+00:00,High_CN0,4319136.692979259,3079785.3464523144,3529841.8552412135,33.818134731959134,35.490987719061344,246.21871679648757
2024-05-20 12:13:37.000999+00:00,G10,17408420.028933264,10902297.981836502,17224454.91525819,20567753.61436441,31.150999069213867,2024-05-20 12:13:37.000999+00:00,Low_CN0,4319091.473582234,3079796.6004103376,3529822.983738404,33.81814533619585,35.49137024955126,210.5553687941283
2024-05-20 12:13:37.000999+00:00,G01,-13012681.191523137,8628575.12606689,20999054.950103603,25298311.580338866,31.50200080871582,2024-05-20 12:13:38.000999+00:00,High_CN0,4319143.95893856,3079802.9704778492,3529883.0248032953,33.818362064726394,35.49109714459231,282.54799406882375
2024-05-20 12:13:37.000999+00:00,G21,26697298.7790872,-2290.0238348827697,2082623.380992172,22708008.63124602,33.875,2024-05-20 12:13:38.000999+00:00,Low_CN0,4319102.516405439,3079781.625299487,3529837.3131942656,33.8182511736546,35.49116930796746,218.77721227612346
2024-05-20 12:13:37.000999+00:00,G32,16336125.662334545,-16496619.64937012,12340144.57811969,24674425.665924728,33.99399948120117,2024-05-20 12:13:39.000999+00:00,High_CN0,4319108.567658846,3079785.426377965,3529849.055933196,33.818303332047094,35.49116478923217,231.2395547768101
2024-05-20 12:13:37.000999+00:00,G23,4783944.0748588815,14402710.846311403,21840177.401400022,21605811.31278877,33.61899948120117,2024-05-20 12:13:39.000999+00:00,Low_CN0,4319103.512724764,3079775.9520613053,3529838.5594225824,33.81827296411092,35.49111316859204,217.40829874947667
2024-05-20 12:13:37.000999+00:00,G26,23843458.79076479,5483847.4989796765,-10928509.781993983,24485864.43937134,28.45599937438965,2024-05-20 12:13:40.000999+00:00,High_CN0,4319101.269433638,3079790.3206084385,3529825.1947049624,33.81814017088985,35.49125359575898,215.38321256637573
2024-05-20 12:13:37.000999+00:00,G15,15739208.254586836,21340840.34107149,-2629249.706696748,22473597.1641862,34.03300094604492,2024-05-20 12:13:40.000999+00:00,Low_CN0,4319018.71293842,3079769.5719923787,3529797.789630142,33.818332619494385,35.49158882957321,134.27756101079285
2024-05-20 12:13:38.000999+00:00,G16,21906839.29799819,8769316.027662287,-12890259.508060437,24796185.577089,34.65299987792969,2024-05-20 12:13:41.000999+00:00,High_CN0,4319100.948708657,3079783.4007189884,3529835.496156291,33.81823879672416,35.49119475209012,217.5618271753192
2024-05-20 12:13:38.000999+00:00,G10,17406295.341633238,10902470.9730024,17226486.270510115,20566865.627451893,33.56700134277344,2024-05-20 12:13:41.000999+00:00,Low_CN0,4319091.543059584,3079780.5432963367,3529828.75396645,33.81823504685142,35.491228604391644,206.06869467813522
