utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,Constellation,SvName,GpsTimeNanos,UnixTime,Epoch,tRxGnssNanos,GpsWeekNumber,tRxSeconds,tTxSeconds,prSeconds,PrM,PrSigmaM
1715019878592,12023684000000,,0.0,-1399043072908145672,-0.7385520935058594,15000060.081481934,-7.616690226376673,10.072168322019868,1,01,0.0,1,336566,5,50.3,-318.7323913574219,0.20350000262260437,16,0.0,0.0,1575420030,,,,0,0.0,1,-53.66,45.3,0.0,0.0,,,C,12650148191556,G,G01,1.3990550965921457e+18,2024-05-06 18:24:56.592145664+00:00,0,1.3990550965921457e+18,2313.0,152696.59214568138,0.000336566,152696.59180911537,45777286586677.37,1.4989622900000001
1715019878592,12023684000000,,0.0,-1399043072908145672,-0.7385520935058594,15000060.081481934,-7.616690226376673,10.072168322019868,1,02,0.0,1,77572,5,50.3,352.6332092285156,0.21700000762939453,16,0.0,0.0,1575420030,,,,0,0.0,1,-53.66,45.3,0.0,0.0,,,C,12650148191556,G,G02,1.3990550965921457e+18,2024-05-06 18:24:56.592145664+00:00,0,1.3990550965921457e+18,2313.0,152696.59214568138,7.757200000000001e-05,152696.59206810937,45777286664321.81,1.4989622900000001
1715019878592,12023684000000,,0.0,-1399043072908145672,-0.7385520935058594,15000060.081481934,-7.616690226376673,10.072168322019868,1,03,0.0,1,146936,5,50.3,-117.82032775878906,0.2199999988079071,16,0.0,0.0,1575420030,,,,0,0.0,1,-53.66,45.3,0.0,0.0,,,C,12650148191556,G,G03,1.3990550965921457e+18,2024-05-06 18:24:56.592145664+00:00,0,1.3990550965921457e+18,2313.0,152696.59214568138,0.00014693600000000002,152696.59199874537,45777286643527.01,1.4989622900000001
1715019878592,12023684000000,,0.0,-1399043072908145672,-0.7385520935058594,15000060.081481934,-7.616690226376673,10.072168322019868,1,04,0.0,1,439597,5,50.2,-79.99945831298828,0.20499999821186066,16,0.0,0.0,1575420030,,,,0,0.0,1,-53.66,45.2,0.0,0.0,,,C,12650148191556,G,G04,1.3990550965921457e+18,2024-05-06 18:24:56.592145664+00:00,0,1.3990550965921457e+18,2313.0,152696.59214568138,0.000439597,152696.59170608438,45777286555789.45,1.4989622900000001
1715019878592,12023684000000,,0.0,-1399043072908145672,-0.7385520935058594,15000060.081481934,-7.616690226376673,10.072168322019868,1,06,0.0,1,442611,5,50.7,-667.76904296875,0.2019999921321869,16,0.0,0.0,1575420030,,,,0,0.0,1,-53.66,45.7,0.0,0.0,,,C,12650148191556,G,G06,1.3990550965921457e+18,2024-05-06 18:24:56.592145664+00:00,0,1.3990550965921457e+18,2313.0,152696.59214568138,0.00044261100000000004,152696.5917030704,45777286554885.875,1.4989622900000001
1715019878592,12023684000000,,0.0,-1399043072908145672,-0.7385520935058594,15000060.081481934,-7.616690226376673,10.072168322019868,1,09,0.0,1,850114,5,50.5,-428.5223388671875,0.2094999998807907,16,0.0,0.0,1575420030,,,,0,0.0,1,-53.66,45.5,0.0,0.0,,,C,12650148191556,G,G09,1.3990550965921457e+18,2024-05-06 18:24:56.592145664+00:00,0,1.3990550965921457e+18,2313.0,152696.59214568138,0.000850114,152696.59129556737,45777286432719.55,1.4989622900000001
1715019878592,12023684000000,,0.0,-1399043072908145672,-0.7385520935058594,15000060.081481934,-7.616690226376673,10.072168322019868,1,16,0.0,1,343883,5,50.5,-431.8049011230469,0.19599999487400055,16,0.0,0.0,1575420030,,,,0,0.0,1,-53.66,45.5,0.0,0.0,,,C,12650148191556,G,G16,1.3990550965921457e+18,2024-05-06 18:24:56.592145664+00:00,0,1.3990550965921457e+18,2313.0,152696.59214568138,0.000343883,152696.59180179838,45777286584483.78,1.4989622900000001
1715019878592,12023684000000,,0.0,-1399043072908145672,-0.7385520935058594,15000060.081481934,-7.616690226376673,10.072168322019868,1,17,0.0,1,880812,5,50.3,121.58814239501952,0.20350000262260437,16,0.0,0.0,1575420030,,,,0,0.0,1,-53.66,45.3,0.0,0.0,,,C,12650148191556,G,G17,1.3990550965921457e+18,2024-05-06 18:24:56.592145664+00:00,0,1.3990550965921457e+18,2313.0,152696.59214568138,0.000880812,152696.59126486938,45777286423516.52,1.4989622900000001
1715019878592,12023684000000,,0.0,-1399043072908145672,-0.7385520935058594,15000060.081481934,-7.616690226376673,10.072168322019868,1,19,0.0,1,872125,5,50.1,-106.4407730102539,0.19599999487400055,16,0.0,0.0,1575420030,,,,0,0.0,1,-53.66,45.1,0.0,0.0,,,C,12650148191556,G,G19,1.3990550965921457e+18,2024-05-06 18:24:56.592145664+00:00,0,1.3990550965921457e+18,2313.0,152696.59214568138,0.0008721250000000001,152696.59127355638,45777286426120.81,1.4989622900000001
1715019878592,12023684000000,,0.0,-1399043072908145672,-0.7385520935058594,15000060.081481934,-7.616690226376673,10.072168322019868,1,21,0.0,1,852714,5,50.7,468.1604919433594,0.19749999046325684,16,0.0,0.0,1575420030,,,,0,0.0,1,-53.66,45.7,0.0,0.0,,,C,12650148191556,G,G21,1.3990550965921457e+18,2024-05-06 18:24:56.592145664+00:00,0,1.3990550965921457e+18,2313.0,152696.59214568138,0.0008527140000000001,152696.59129296738,45777286431940.086,1.4989622900000001
