GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,PseudorangeRateMetersPerSecond,Constellation,GPS_Unique_Time,Group,Pos_X,Pos_Y,Pos_Z,Lat,Lon,Alt
2024-05-06 18:25:01.592145+00:00,G01,18788148.426437363,21952634.44356142,-6436789.02421133,23941292.365318023,50.9,354.3798522949219,G,2024-05-06 18:25:01.592145+00:00,High_Score,4948519.788293946,2785367.916014666,3386595.844725176,30.97451160603121,29.373807389356966,239236.953491305
2024-05-06 18:25:01.592145+00:00,G02,21898347.176891297,2350046.2757209637,19781830.44658409,22267546.1096268,50.7,-116.43248748779295,G,2024-05-06 18:25:01.592145+00:00,Low_Score,4595074.854828469,2826085.498972322,2945531.2495499235,28.803465415807878,31.59255125128279,-226855.01473576762
2024-05-06 18:25:01.592145+00:00,G03,22723591.72939511,13959688.168225665,2052332.454946511,19076683.188511524,50.3,-78.47721862792969,G,2024-05-06 18:25:02.599145+00:00,High_Score,4950071.077159724,2784146.493148306,3390870.7743077315,31.002990453586353,29.35539276120488,242083.5353444172
2024-05-06 18:25:01.592145+00:00,G04,12849055.42877992,8970702.029406164,21314293.772942893,18690918.93136404,50.8,-666.5101928710938,G,2024-05-06 18:25:02.599145+00:00,Low_Score,4624461.880198937,2850809.356929886,2942244.3635355392,28.60628130234296,31.652293480017995,-195115.14884990826
2024-05-06 18:25:01.592145+00:00,G06,21733452.24661561,3615833.478122309,14948703.908130812,18605046.9647796,50.9,-426.90423583984375,G,2024-05-06 18:25:04.419145+00:00,High_Score,4673105.04480529,2842707.808757956,3338058.4349504095,31.56484739034456,31.312668406344194,35614.5316459015
2024-05-06 18:25:01.592145+00:00,G09,4774237.741112384,-14619582.845141783,21698584.772661693,23377329.64803255,50.7,-430.7557373046875,G,2024-05-06 18:25:04.419145+00:00,Low_Score,4547277.590285257,2739433.0075048846,2916234.595077578,28.952615846864898,31.0661740424508,-316208.5812464822
2024-05-06 18:25:01.592145+00:00,G16,25265053.492233768,-7269998.759396573,3896088.671803041,20828045.2493783,51.0,123.36055755615234,G,2024-05-06 18:25:05.419145+00:00,High_Score,4677787.133798177,2843592.5888849692,3338003.3946671486,31.543500050872197,31.29511199397041,39386.46826475859
2024-05-06 18:25:01.592145+00:00,G17,1694500.92287568,24065926.927355785,-10918067.784336986,23532495.141286768,51.3,-104.62995147705078,G,2024-05-06 18:25:05.419145+00:00,Low_Score,4538264.636026932,2748985.262916431,2926546.942859551,29.051011062645863,31.204752280656162,-313636.22961096093
2024-05-06 18:25:01.592145+00:00,G19,21142545.05354461,-13386590.140972022,9554091.79725308,21877368.657396734,51.3,469.7734680175781,G,2024-05-06 18:25:20.420000+00:00,High_Score,5390466.256959499,3334842.191664268,4249954.638651738,33.989972362037754,31.743239434998504,1260053.7156571643
2024-05-06 18:25:01.592145+00:00,G21,13787928.19562522,-15257106.007207245,16408243.025361558,22109691.29982623,51.1,-298.4328308105469,G,2024-05-06 18:25:20.420000+00:00,Low_Score,4293408.95686577,2780762.4255556497,3160352.790206858,31.891568515694487,32.93039172826211,-359400.50028449483
2024-05-06 18:25:01.592145+00:00,G26,20953708.928065035,16838304.457225822,-3081332.419406667,20213146.911028728,51.3,576.1597900390625,G,2024-05-06 18:25:22.417843+00:00,High_Score,4625882.673899263,3107378.24576846,3329566.004413115,31.024146923542116,33.890733033093305,119088.26009773184
2024-05-06 18:25:01.592145+00:00,G28,-4209358.830921037,25863437.47217036,2722042.61709092,22567380.460083887,50.6,339.50750732421875,G,2024-05-06 18:25:22.417843+00:00,Low_Score,4382975.842081966,2912721.6179535035,3144979.565677109,31.039635227245427,33.606161346202754,-241800.5951223271
2024-05-06 18:25:01.592145+00:00,G31,-7054727.259673347,13641916.590233771,21657073.468344174,22314220.123061307,43.8,523.4892578125,E,2024-05-06 18:25:24.417843+00:00,High_Score,4594930.986214729,3105491.7177001163,3304219.700205113,30.953388472874458,34.05285933708379,83129.57693156227
2024-05-06 18:25:01.592145+00:00,R06,2888360.552477994,19121233.56969569,17817359.158148948,19847136.83311703,44.6,-184.298583984375,E,2024-05-06 18:25:24.417843+00:00,Low_Score,4518495.130293442,2870464.817993686,3306628.503343908,31.877989725277068,32.426574250928155,-80138.07820860948
2024-05-06 18:25:01.592145+00:00,G01,18788148.426437363,21952634.44356142,-6436789.02421133,23941292.365318023,50.9,354.3798522949219,G,2024-05-06 18:25:25.417843+00:00,High_Score,4595900.228828244,3105641.6544030504,3305060.9173616664,30.955749063859034,34.04853636331798,84322.94372305647
2024-05-06 18:25:01.592145+00:00,G02,21898347.176891297,2350046.2757209637,19781830.44658409,22267546.1096268,50.7,-116.43248748779295,G,2024-05-06 18:25:25.417843+00:00,Low_Score,4513776.144507256,2868422.645692825,3307963.4788559224,31.91285869582134,32.43521616845527,-83744.16853323113
2024-05-06 18:25:01.592145+00:00,G03,22723591.72939511,13959688.168225665,2052332.454946511,19076683.188511524,50.3,-78.47721862792969,G,2024-05-06 18:25:26.417843+00:00,High_Score,4594511.901569989,3105300.834150019,3303786.8654092127,30.952163034716474,34.05364992350992,82517.51833701506
2024-05-06 18:25:01.592145+00:00,G04,12849055.42877992,8970702.029406164,21314293.772942893,18690918.93136404,50.8,-666.5101928710938,G,2024-05-06 18:25:26.417843+00:00,Low_Score,4523123.717643375,2869264.9973281613,3309169.64588799,31.88194893390308,32.38919295126487,-76023.78086727578
