# 
# Header Description:
# 
# Version: v3.0.6.4 Platform: 14 Manufacturer: samsung Model: SM-S918B
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
# 
Agc,1713419514424,498834978000000,18,0.0,-1396955897446219373,-0.37517738342285156,107907.34738111496,-1.9531249475624988,266.3356301245171,10,-53.8,1575420000,5
Status,,2,0,5,24,1561097980,19.30,323.85913,49.971268,1,1,0,14.3
Status,,2,1,6,5,1575420030,19.90,257.50754,42.14849,1,1,0,14.9
Raw,1713419515424,498835978000000,18,0.0,-1396955897446219375,-0.32722949981689453,108170.34542560577,-1.9531249475624988,266.3356301245171,10,24,0.0,16399,366719349375891,106,23.6,-320.4659118652344,4.985000133514404,16,0.0,0.0,1561097980,,,,0,0.0,5,-59.05,19.3,-1529.8797607421875,21.58974838256836,,,I,564666053107403
Agc,1713419515424,498835978000000,18,0.0,-1396955897446219375,-0.32722949981689453,108170.34542560577,-1.9531249475624988,266.3356301245171,10,-50.05,1575420000,1
Agc,1713419515424,498835978000000,18,0.0,-1396955897446219375,-0.32722949981689453,108170.34542560577,-1.9531249475624988,266.3356301245171,10,-50.05,1575420000,4
Agc,1713419515424,498835978000000,18,0.0,-1396955897446219375,-0.32722949981689453,108170.34542560577,-1.9531249475624988,266.3356301245171,10,-53.06,1602000000,3
Agc,1713419515424,498835978000000,18,0.0,-1396955897446219375,-0.32722949981689453,108170.34542560577,-1.9531249475624988,266.3356301245171,10,-59.05,1561098000,5
Agc,1713419515424,498835978000000,18,0.0,-1396955897446219375,-0.32722949981689453,108170.34542560577,-1.9531249475624988,266.3356301245171,10,-53.86,1575420000,6
Agc,1713419515424,498835978000000,18,0.0,-1396955897446219375,-0.32722949981689453,108170.34542560577,-1.9531249475624988,266.3356301245171,10,-39.43,1176450000,1
Agc,1713419515424,498835978000000,18,0.0,-1396955897446219375,-0.32722949981689453,108170.34542560577,-1.9531249475624988,266.3356301245171,10,-39.43,1176450000,4
Agc,1713419515424,498835978000000,18,0.0,-1396955897446219375,-0.32722949981689453,108170.34542560577,-1.9531249475624988,266.3356301245171,10,-39.43,1176450000,6
Agc,1713419515424,498835978000000,18,0.0,-1396955897446219375,-0.32722949981689453,108170.34542560577,-1.9531249475624988,266.3356301245171,10,-39.43,1176450000,5
Agc,1713419515424,498835978000000,18,0.0,-1396955897446219375,-0.32722949981689453,108170.34542560577,-1.9531249475624988,266.3356301245171,10,-53.86,1575420000,5
Agc,1713419516424,498836978000000,18,0.0,-1396955897446219500,-0.8993148803710938,108181.45424127579,-0.9765624737812494,267.1052563884775,10,-50.05,1575420000,1
Agc,1713419516424,498836978000000,18,0.0,-1396955897446219500,-0.8993148803710938,108181.45424127579,-0.9765624737812494,267.1052563884775,10,-50.05,1575420000,4
Agc,1713419516424,498836978000000,18,0.0,-1396955897446219500,-0.8993148803710938,108181.45424127579,-0.9765624737812494,267.1052563884775,10,-53.14,1602000000,3
Agc,1713419516424,498836978000000,18,0.0,-1396955897446219500,-0.8993148803710938,108181.45424127579,-0.9765624737812494,267.1052563884775,10,-39.67,1176450000,1
Agc,1713419516424,498836978000000,18,0.0,-1396955897446219500,-0.8993148803710938,108181.45424127579,-0.9765624737812494,267.1052563884775,10,-39.67,1176450000,4
Agc,1713419517424,498837978000000,18,0.0,-1396955897446219375,-0.3123283386230469,108295.0159907341,0.9765624737812494,267.3555210759912,10,-50.01,1575420000,1
Agc,1713419517424,498837978000000,18,0.0,-1396955897446219375,-0.3123283386230469,108295.0159907341,0.9765624737812494,267.3555210759912,10,-50.01,1575420000,4
Agc,1713419517424,498837978000000,18,0.0,-1396955897446219375,-0.3123283386230469,108295.0159907341,0.9765624737812494,267.3555210759912,10,-53.09,1602000000,3
Agc,1713419517424,498837978000000,18,0.0,-1396955897446219375,-0.3123283386230469,108295.0159907341,0.9765624737812494,267.3555210759912,10,-39.55,1176450000,1
Agc,1713419517424,498837978000000,18,0.0,-1396955897446219375,-0.3123283386230469,108295.0159907341,0.9765624737812494,267.3555210759912,10,-39.55,1176450000,4
Fix,NLP,32.1050828000,35.2054629000,667.5,,20.0,,1713419516134,,,564667277000000,1.0,0,,,
Fix,FLP,32.1050827000,35.2054630000,667.5,0.0064400756,20.0,,1713419516134,1.5,,564667277000000,1.0053637,0,,,
Agc,1713419518424,498838978000000,18,0.0,-1396955897446219423,-0.040747642517089844,108391.21043682098,-0.9765624737812494,266.3356301245171,10,-50.03,1575420000,1
Agc,1713419518424,498838978000000,18,0.0,-1396955897446219423,-0.040747642517089844,108391.21043682098,-0.9765624737812494,266.3356301245171,10,-50.03,1575420000,4
Agc,1713419518424,498838978000000,18,0.0,-1396955897446219423,-0.040747642517089844,108391.21043682098,-0.9765624737812494,266.3356301245171,10,-53.1,1602000000,3
Agc,1713419518424,498838978000000,18,0.0,-1396955897446219423,-0.040747642517089844,108391.21043682098,-0.9765624737812494,266.3356301245171,10,-39.71,1176450000,1
Agc,1713419518424,498838978000000,18,0.0,-1396955897446219423,-0.040747642517089844,108391.21043682098,-0.9765624737812494,266.3356301245171,10,-39.71,1176450000,4
Agc,1713419519424,498839978000000,18,0.0,-1396955897446219370,-0.1565265655517578,108491.89013242722,-1.9531249475624988,266.3356301245171,10,-50.01,1575420000,1
Agc,1713419519424,498839978000000,18,0.0,-1396955897446219370,-0.1565265655517578,108491.89013242722,-1.9531249475624988,266.3356301245171,10,-50.01,1575420000,4
Agc,1713419519424,498839978000000,18,0.0,-1396955897446219370,-0.1565265655517578,108491.89013242722,-1.9531249475624988,266.3356301245171,10,-52.83,1602000000,3
Agc,1713419519424,498839978000000,18,0.0,-1396955897446219370,-0.1565265655517578,108491.89013242722,-1.9531249475624988,266.3356301245171,10,-39.43,1176450000,1
Agc,1713419519424,498839978000000,18,0.0,-1396955897446219370,-0.1565265655517578,108491.89013242722,-1.9531249475624988,266.3356301245171,10,-39.43,1176450000,4
Agc,1713419520424,498840978000000,18,0.0,-1396955897446219477,-0.4895906448364258,108105.75634241104,-1.9531249475624988,268.05007302348173,10,-50.01,1575420000,1
Agc,1713419520424,498840978000000,18,0.0,-1396955897446219477,-0.4895906448364258,108105.75634241104,-1.9531249475624988,268.05007302348173,10,-50.01,1575420000,4
Agc,1713419520424,498840978000000,18,0.0,-1396955897446219477,-0.4895906448364258,108105.75634241104,-1.9531249475624988,268.05007302348173,10,-52.92,1602000000,3
Agc,1713419520424,498840978000000,18,0.0,-1396955897446219477,-0.4895906448364258,108105.75634241104,-1.9531249475624988,268.05007302348173,10,-39.83,1176450000,1
Agc,1713419520424,498840978000000,18,0.0,-1396955897446219477,-0.4895906448364258,108105.75634241104,-1.9531249475624988,268.05007302348173,10,-39.83,1176450000,4
Agc,1713419521424,498841978000000,18,0.0,-1396955897446219476,-0.5061140060424805,108368.75438690186,0.9765624737812494,266.3356301245171,10,-50.1,1575420000,1
Agc,1713419521424,498841978000000,18,0.0,-1396955897446219476,-0.5061140060424805,108368.75438690186,0.9765624737812494,266.3356301245171,10,-50.1,1575420000,4
Agc,1713419521424,498841978000000,18,0.0,-1396955897446219476,-0.5061140060424805,108368.75438690186,0.9765624737812494,266.3356301245171,10,-53.12,1602000000,3
Agc,1713419521424,498841978000000,18,0.0,-1396955897446219476,-0.5061140060424805,108368.75438690186,0.9765624737812494,266.3356301245171,10,-40.07,1176450000,1
Agc,1713419521424,498841978000000,18,0.0,-1396955897446219476,-0.5061140060424805,108368.75438690186,0.9765624737812494,266.3356301245171,10,-40.07,1176450000,4
Agc,1713419522424,498842978000000,18,0.0,-1396955897446219474,-0.5540618896484375,108631.75243139267,1.9531249475624988,266.3356301245171,10,-50.1,1575420000,1
Agc,1713419522424,498842978000000,18,0.0,-1396955897446219474,-0.5540618896484375,108631.75243139267,1.9531249475624988,266.3356301245171,10,-50.1,1575420000,4
Agc,1713419522424,498842978000000,18,0.0,-1396955897446219474,-0.5540618896484375,108631.75243139267,1.9531249475624988,266.3356301245171,10,-53.11,1602000000,3
Agc,1713419522424,498842978000000,18,0.0,-1396955897446219474,-0.5540618896484375,108631.75243139267,1.9531249475624988,266.3356301245171,10,-40.14,1176450000,1
Agc,1713419522424,498842978000000,18,0.0,-1396955897446219474,-0.5540618896484375,108631.75243139267,1.9531249475624988,266.3356301245171,10,-40.14,1176450000,4
Fix,NLP,32.1050819000,35.2054641000,667.5,,20.0,,1713419521140,,,564672282000000,1.0277508,0,,,
Fix,FLP,32.1050821000,35.2054639000,667.5,0.010676768,20.0,,1713419521140,1.5,,564672282000000,1.0206213,0,,,
Agc,1713419523424,498843978000000,18,0.0,-1396955897446219476,-0.5061140060424805,108894.75047588348,-1.9531249475624988,266.3356301245171,10,-50.05,1575420000,1
Agc,1713419523424,498843978000000,18,0.0,-1396955897446219476,-0.5061140060424805,108894.75047588348,-1.9531249475624988,266.3356301245171,10,-50.05,1575420000,4
Agc,1713419523424,498843978000000,18,0.0,-1396955897446219476,-0.5061140060424805,108894.75047588348,-1.9531249475624988,266.3356301245171,10,-53.0,1602000000,3
Agc,1713419523424,498843978000000,18,0.0,-1396955897446219476,-0.5061140060424805,108894.75047588348,-1.9531249475624988,266.3356301245171,10,-39.99,1176450000,1
Agc,1713419523424,498843978000000,18,0.0,-1396955897446219476,-0.5061140060424805,108894.75047588348,-1.9531249475624988,266.3356301245171,10,-39.99,1176450000,4
Agc,1713419524424,498844978000000,18,0.0,-1396955897446219480,-0.4102182388305664,109158.4786772728,-3.9062498951249975,267.0614587957166,10,-50.1,1575420000,1
Agc,1713419524424,498844978000000,18,0.0,-1396955897446219480,-0.4102182388305664,109158.4786772728,-3.9062498951249975,267.0614587957166,10,-50.1,1575420000,4
Agc,1713419524424,498844978000000,18,0.0,-1396955897446219480,-0.4102182388305664,109158.4786772728,-3.9062498951249975,267.0614587957166,10,-53.06,1602000000,3
Agc,1713419524424,498844978000000,18,0.0,-1396955897446219480,-0.4102182388305664,109158.4786772728,-3.9062498951249975,267.0614587957166,10,-40.01,1176450000,1
Agc,1713419524424,498844978000000,18,0.0,-1396955897446219480,-0.4102182388305664,109158.4786772728,-3.9062498951249975,267.0614587957166,10,-40.01,1176450000,4
Agc,1713419525424,498845978000000,18,0.0,-1396955897446219481,-0.3936948776245117,109422.43784666061,-0.9765624737812494,267.2929676285732,10,-50.1,1575420000,1
Agc,1713419525424,498845978000000,18,0.0,-1396955897446219481,-0.3936948776245117,109422.43784666061,-0.9765624737812494,267.2929676285732,10,-50.1,1575420000,4
Agc,1713419525424,498845978000000,18,0.0,-1396955897446219481,-0.3936948776245117,109422.43784666061,-0.9765624737812494,267.2929676285732,10,-53.13,1602000000,3
Agc,1713419525424,498845978000000,18,0.0,-1396955897446219481,-0.3936948776245117,109422.43784666061,-0.9765624737812494,267.2929676285732,10,-39.75,1176450000,1
Agc,1713419525424,498845978000000,18,0.0,-1396955897446219481,-0.3936948776245117,109422.43784666061,-0.9765624737812494,267.2929676285732,10,-39.75,1176450000,4
Agc,1713419526424,498846978000000,18,0.0,-1396955897446219480,-0.4102182388305664,109686.7024898529,0.9765624737812494,267.59955077789965,10,-50.05,1575420000,1
Agc,1713419526424,498846978000000,18,0.0,-1396955897446219480,-0.4102182388305664,109686.7024898529,0.9765624737812494,267.59955077789965,10,-50.05,1575420000,4
Agc,1713419526424,498846978000000,18,0.0,-1396955897446219480,-0.4102182388305664,109686.7024898529,0.9765624737812494,267.59955077789965,10,-53.02,1602000000,3
Agc,1713419526424,498846978000000,18,0.0,-1396955897446219480,-0.4102182388305664,109686.7024898529,0.9765624737812494,267.59955077789965,10,-39.59,1176450000,1
Agc,1713419526424,498846978000000,18,0.0,-1396955897446219480,-0.4102182388305664,109686.7024898529,0.9765624737812494,267.59955077789965,10,-39.59,1176450000,4
Agc,1713419527424,498847978000000,18,0.0,-1396955897446219479,-0.4267416000366211,109949.70053434372,0.9765624737812494,266.3356301245171,10,-50.01,1575420000,1
Agc,1713419527424,498847978000000,18,0.0,-1396955897446219479,-0.4267416000366211,109949.70053434372,0.9765624737812494,266.3356301245171,10,-50.01,1575420000,4
Agc,1713419527424,498847978000000,18,0.0,-1396955897446219479,-0.4267416000366211,109949.70053434372,0.9765624737812494,266.3356301245171,10,-52.99,1602000000,3
Agc,1713419527424,498847978000000,18,0.0,-1396955897446219479,-0.4267416000366211,109949.70053434372,0.9765624737812494,266.3356301245171,10,-39.59,1176450000,1
Agc,1713419527424,498847978000000,18,0.0,-1396955897446219479,-0.4267416000366211,109949.70053434372,0.9765624737812494,266.3356301245171,10,-39.59,1176450000,4
Fix,NLP,32.1050821000,35.2054615000,667.5,,20.0,,1713419526182,,,564677325000000,1.0,0,,,
Fix,FLP,32.1050820000,35.2054621000,667.5,0.012881784,20.0,,1713419526182,1.5,,564677325000000,1.005894,0,,,
Agc,1713419528424,498848978000000,18,0.0,-1396955897446219180,-0.9862852096557617,109888.76968622208,0.9765624737812494,268.1001310507686,10,-50.01,1575420000,1
Agc,1713419528424,498848978000000,18,0.0,-1396955897446219180,-0.9862852096557617,109888.76968622208,0.9765624737812494,268.1001310507686,10,-50.01,1575420000,4
Agc,1713419528424,498848978000000,18,0.0,-1396955897446219180,-0.9862852096557617,109888.76968622208,0.9765624737812494,268.1001310507686,10,-52.97,1602000000,3
Agc,1713419528424,498848978000000,18,0.0,-1396955897446219180,-0.9862852096557617,109888.76968622208,0.9765624737812494,268.1001310507686,10,-39.51,1176450000,1
